Date,Venue,Home Team,Away Team,Score,Competition,Winner,Match report
03-Dec-11,Millennium Stadium, Wales, Australia (21),18 – 24,2011 Autumn Internationals, Australia (20),BBC
21-Oct-11,Eden Park, Wales, Australia,18 – 21,2011 Rugby World Cup Bronze Final, Australia (19),BBC
15-Oct-11,Eden Park, Wales, France,8 – 9,2011 Rugby World Cup Semi-Final, France (43),BBC
08-Oct-11,Westpac Stadium, Ireland, Wales,10 – 22,2011 Rugby World Cup Quarter Final, Wales (64),BBC
02-Oct-11,Waikato Stadium, Wales, Fiji,66 – 0,2011 Rugby World Cup Pool D, Wales (7),BBC
26-Sep-11,Yarrow Stadium, Wales, Namibia,81 – 7,, Wales (4),BBC
18-Sep-11,Waikato Stadium, Wales, Samoa,17 – 10,, Wales (5),BBC
11-Sep-11,Westpac Stadium, South Africa, Wales,17 – 16,, South Africa (24),BBC
20-Aug-11,Millennium Stadium, Wales, Argentina,28 – 13,2011 Rugby World Cup warm-up tests, Wales (9),BBC
13-Aug-11,Millennium Stadium, Wales, England,19 – 9,, Wales (54),BBC
06-Aug-11,Twickenham, England, Wales,23 – 19,, England (56),BBC
04-Jun-11,Millennium Stadium, Wales, Barbarians,28 – 31,, Barbarians (2),BBC
19-Mar-11,Stade de France, France, Wales,28 – 9,2011 Six Nations Championship, France (43),BBC
12-Mar-11,Millennium Stadium, Wales, Ireland,19 – 13,, Wales (63),BBC
26-Feb-11,Stadio Flaminio, Italy, Wales,16 – 24,, Wales (15),BBC
12-Feb-11,Murrayfield, Scotland, Wales,6 – 24,, Wales (65),BBC
04-Feb-11,Millennium Stadium, Wales, England,19 – 26,, England (55),BBC
27-Nov-10,Millennium Stadium, Wales, New Zealand,25 – 37,2010 Autumn Internationals, New Zealand (25),BBC
19-Nov-10,Millennium Stadium, Wales, Fiji,16 – 16,,  draw (1),BBC
13-Nov-10,Millennium Stadium, Wales, South Africa,25 – 29,, South Africa,BBC
06-Nov-10,Millennium Stadium, Wales, Australia,16 – 25,, Australia,BBC
26-Jun-10,Waikato Stadium, New Zealand, Wales,29 – 10,2010 mid-year rugby test series, New Zealand,BBC
19-Jun-10,Carisbrook, New Zealand, Wales,42 – 9,, New Zealand,BBC
05-Jun-10,Millennium Stadium, Wales, South Africa,31 – 34,, South Africa,BBC
20-Mar-10,Millennium Stadium, Wales, Italy,33 – 10,2010 Six Nations, Wales,BBC
13-Mar-10,Croke Park, Ireland, Wales,27 – 12,, Ireland,BBC
26-Feb-10,Millennium Stadium, Wales, France,20 – 26,, France,BBC
13-Feb-10,Millennium Stadium, Wales, Scotland,31 – 24,, Wales,BBC
06-Feb-10,Twickenham, England, Wales,30 – 17,, England (54),BBC
